年限,利回り
1,1.0026842570441257
2,1.2440671818434976
3,1.3673493490671123
4,1.5411812387661072
5,1.6710710769980508
6,1.7928333487104389
7,1.9105080776194376
8,2.0254774190393725
9,2.1391235282845686
10,2.2528285606693506
11,2.3702215472903614
12,2.4903967449654845
13,2.6079341475909064
14,2.7174137490628114
15,2.8134155432773853
16,2.8958025759635806
17,2.9699667483130594
18,3.038781337416071
19,3.105119620362865
20,3.17185487424369
21,3.2463366871152997
22,3.3267259139974357
23,3.4021127324248304
24,3.4615873199322165
25,3.4942398540543276
26,3.5088428335800543
27,3.5210982371497286
28,3.530490462075246
29,3.5365039056685
30,3.5386229652413856
